,molecule_cheml_id,standard_value,canonical_smiles,bioactivity_class
1533,CHEMBL366773,3400.0,Brc1ccc2c(c1)CC/C2=C\c1ccncc1,intermediate
1534,CHEMBL179222,3960.0,Brc1ccc2c(c1)CC/C2=C/c1ccncc1,intermediate
1535,CHEMBL175609,3720.0,COc1ccc2c(c1)CC/C2=C/c1ccncc1,intermediate
1536,CHEMBL175979,800.0,COc1ccc2c(c1)CCC/C2=C\c1ccncc1,active
1537,CHEMBL193496,1010.0,COc1ccc2c(c1)CCC/C2=C/c1ccncc1,intermediate
1538,CHEMBL365314,280.0,COc1ccc2c(c1)/C(=C/c1ccncc1)CC2,active
1539,CHEMBL370281,770.0,COc1ccc2c(c1)/C(=C\c1ccncc1)CC2,active
1540,CHEMBL193858,90.0,COc1cc2c(cc1OC)/C(=C/c1ccncc1)CCC2,active
1541,CHEMBL371742,1280.0,Cc1ccc2c(c1)/C(=C/c1ccncc1)CC2,intermediate
1542,CHEMBL192077,1710.0,Cc1ccc2c(c1)/C(=C\c1ccncc1)CC2,intermediate
1543,CHEMBL192155,4330.0,COc1ccc2c(c1)CC/C2=C\c1cncs1,intermediate
1544,CHEMBL195354,4830.0,COc1ccc2c(c1)CC/C2=C/c1cncs1,intermediate
1545,CHEMBL195248,7450.0,Fc1ccc2c(c1)CC/C2=C\c1cncnc1,intermediate
1546,CHEMBL370530,720.0,Fc1ccc2c(c1)CC/C2=C\c1cccc2cnccc12,active
1547,CHEMBL363849,1940.0,Fc1ccc2c(c1)CC/C2=C/c1cccc2cnccc12,intermediate
1548,CHEMBL194928,4810.0,C(=C1c2ccccc2-c2ccccc21)c1cccnc1,intermediate
1549,CHEMBL383145,2740.0,C(=C1c2ccccc2-c2ccccc21)c1ccncc1,intermediate
1550,CHEMBL370317,3680.0,C(=C(c1ccccc1)c1ccccc1)c1cccnc1,intermediate
1551,CHEMBL373074,2800.0,CC1C/C(=C/c2cccnc2)c2ccccc21,intermediate
1552,CHEMBL193555,4060.0,C(=C1\CC(c2ccccc2)c2ccccc21)\c1cccnc1,intermediate
1553,CHEMBL364080,2041737.94,C(=C1\CCc2ccccc21)\c1cccnc1,inactive
1554,CHEMBL363621,3548133.89,C(=C1/CCc2ccccc21)\c1cccnc1,inactive
1555,CHEMBL193606,6576578.37,C(=C1\CCCc2ccccc21)\c1cccnc1,inactive
1556,CHEMBL365120,3793149.85,C(=C1/CCCc2ccccc21)\c1cccnc1,inactive
1557,CHEMBL193997,2540972.71,Fc1ccc2c(c1)CC/C2=C\c1cccnc1,inactive
1558,CHEMBL383806,2488857.32,Fc1ccc2c(c1)CC/C2=C/c1cccnc1,inactive
1559,CHEMBL383807,4255984.13,Clc1ccc2c(c1)CC/C2=C\c1cccnc1,inactive
1560,CHEMBL193652,4045758.92,Clc1ccc2c(c1)CC/C2=C/c1cccnc1,inactive
1561,CHEMBL194440,7834296.43,Brc1ccc2c(c1)CC/C2=C\c1cccnc1,inactive
1562,CHEMBL176118,7362070.97,Brc1ccc2c(c1)CC/C2=C/c1cccnc1,inactive
1563,CHEMBL176609,4305266.1,COc1ccc2c(c1)CC/C2=C\c1cccnc1,inactive
1564,CHEMBL176101,5571857.49,COc1ccc2c(c1)CC/C2=C/c1cccnc1,inactive
1565,CHEMBL362441,1129795.91,COc1ccc2c(c1)CCC/C2=C\c1cccnc1,inactive
1566,CHEMBL176098,3999447.5,COc1ccc2c(c1)CCC/C2=C/c1cccnc1,inactive
1567,CHEMBL366669,979489.99,COc1cc2c(cc1OC)/C(=C/c1cccnc1)CCC2,inactive
1568,CHEMBL425323,7079457.84,CCOc1ccc2c(c1)CC/C2=C\c1cccnc1,inactive
1569,CHEMBL176886,7673614.89,CCOc1ccc2c(c1)CC/C2=C/c1cccnc1,inactive
1570,CHEMBL175550,3926449.35,Cc1ccc2c(c1)/C(=C/c1cccnc1)CC2,inactive
1571,CHEMBL366570,4602565.74,Cc1ccc2c(c1)/C(=C\c1cccnc1)CC2,inactive
1572,CHEMBL368305,4720630.41,Cc1cccc2c1CC/C2=C\c1cccnc1,inactive
1573,CHEMBL176009,12618275.35,Cc1cccc2c1CC/C2=C/c1cccnc1,inactive
1574,CHEMBL366490,1811340.09,Fc1cccc2c1CC/C2=C\c1cccnc1,inactive
1575,CHEMBL176076,179887.09,Fc1cccc2c1CC/C2=C/c1cccnc1,inactive
1576,CHEMBL176287,130016.96,Clc1cccc2c1CC/C2=C\c1cccnc1,inactive
1577,CHEMBL369623,230144.18,Clc1cccc2c1CC/C2=C/c1cccnc1,inactive
1578,CHEMBL175962,6698846.09,C(=C1\CCc2ccccc21)\c1ccncc1,inactive
1579,CHEMBL179149,12735030.81,C(=C1/CCc2ccccc21)\c1ccncc1,inactive
1580,CHEMBL360026,650129.69,C(=C1\CCCc2ccccc21)\c1ccncc1,inactive
1581,CHEMBL424960,1548816.62,Fc1ccc2c(c1)CC/C2=C\c1ccncc1,inactive
1582,CHEMBL179144,799834.26,Fc1ccc2c(c1)CC/C2=C/c1ccncc1,inactive
1583,CHEMBL175554,5432503.31,Clc1ccc2c(c1)CC/C2=C\c1ccncc1,inactive
1584,CHEMBL175799,1990673.34,Clc1ccc2c(c1)CC/C2=C/c1ccncc1,inactive
1585,CHEMBL366773,3396252.73,Brc1ccc2c(c1)CC/C2=C\c1ccncc1,inactive
1586,CHEMBL179222,3962780.34,Brc1ccc2c(c1)CC/C2=C/c1ccncc1,inactive
1587,CHEMBL175609,3723917.06,COc1ccc2c(c1)CC/C2=C/c1ccncc1,inactive
1588,CHEMBL175979,799834.26,COc1ccc2c(c1)CCC/C2=C\c1ccncc1,inactive
1589,CHEMBL193496,1009252.89,COc1ccc2c(c1)CCC/C2=C/c1ccncc1,inactive
1590,CHEMBL365314,279898.13,COc1ccc2c(c1)/C(=C/c1ccncc1)CC2,inactive
1591,CHEMBL370281,769130.44,COc1ccc2c(c1)/C(=C\c1ccncc1)CC2,inactive
1592,CHEMBL193858,89949.76,COc1cc2c(cc1OC)/C(=C/c1ccncc1)CCC2,inactive
1593,CHEMBL371742,1279381.3,Cc1ccc2c(c1)/C(=C/c1ccncc1)CC2,inactive
1594,CHEMBL192077,1710015.32,Cc1ccc2c(c1)/C(=C\c1ccncc1)CC2,inactive
1595,CHEMBL192155,4325138.31,COc1ccc2c(c1)CC/C2=C\c1cncs1,inactive
1596,CHEMBL195354,4830588.02,COc1ccc2c(c1)CC/C2=C/c1cncs1,inactive
1597,CHEMBL195248,7447319.74,Fc1ccc2c(c1)CC/C2=C\c1cncnc1,inactive
1598,CHEMBL370530,719448.98,Fc1ccc2c(c1)CC/C2=C\c1cccc2cnccc12,inactive
1599,CHEMBL363849,1940885.88,Fc1ccc2c(c1)CC/C2=C/c1cccc2cnccc12,inactive
1600,CHEMBL194928,4808393.48,C(=C1c2ccccc2-c2ccccc21)c1cccnc1,inactive
1601,CHEMBL383145,2741574.17,C(=C1c2ccccc2-c2ccccc21)c1ccncc1,inactive
1602,CHEMBL370317,3681289.74,C(=C(c1ccccc1)c1ccccc1)c1cccnc1,inactive
1603,CHEMBL373074,2798981.32,CC1C/C(=C/c2cccnc2)c2ccccc21,inactive
1604,CHEMBL193555,4064433.29,C(=C1\CC(c2ccccc2)c2ccccc21)\c1cccnc1,inactive
1605,CHEMBL1629800,225.0,C[C@]12CCC=C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active
1606,CHEMBL1629801,30000.0,C[C@]12CCC=C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,inactive
1607,CHEMBL1629802,145.0,C[C@]12CC[C@H]3O[C@H]3[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active
1608,CHEMBL1629803,6500.0,C[C@]12CC[C@H]3O[C@H]3[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,intermediate
1609,CHEMBL132530,42.0,C[C@]12CCC(=O)C(O)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active
1610,CHEMBL1629804,60.0,C[C@]12CCCC=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active
