molecule_cheml_id,standard_value,canonical_smiles
CHEMBL28173,49.0,CCCCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O
CHEMBL28290,240.0,COc1ccc(CN2C(=O)C3CC(c4ccc(N)cc4)(C3)C2=O)cc1
CHEMBL27467,13.0,Nc1ccc(C23CC(C2)C(=O)N(C2CCCCC2)C3=O)cc1
CHEMBL27467,70.0,Nc1ccc(C23CC(C2)C(=O)N(C2CCCCC2)C3=O)cc1
CHEMBL27698,111.0,CCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O
CHEMBL27767,777000.0,Nc1ccc([C@]23C[C@H]2C(=O)NC3=O)cc1
CHEMBL29482,3.5,N#Cc1ccc(C(c2ccc(C#N)cc2)n2ccnc2)cc1
CHEMBL311077,38000.0,CC(=O)OCC12CCCC=C1CCC1C2CCC2(C)C(OC(C)=O)CCC12
CHEMBL424162,1000.0,C#CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL349514,1000.0,CCSC(C[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12)SCC
CHEMBL2112309,26000.0,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43C(F)F)[C@@H]1CC[C@@H]2O
CHEMBL349704,12.0,CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL165279,1000.0,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCCS)C1CCC2=O
CHEMBL443530,44000.0,CC(=O)OCC12CCCC=C1CCC1C2CCC2(C)C(O)CCC12
CHEMBL488,1900.0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CHEMBL352891,1000.0,CSSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL81255,100000.0,CC(=O)OC1CCC2C3CCC4=CCCCC4(CO)C3CCC12C
CHEMBL31760,0.7,C=C(c1ccc(C#N)cc1)n1ccnc1
CHEMBL309656,4000.0,CC(=O)OCC12CCCC=C1CCC1C3CCC(=O)C3(C)CCC12
CHEMBL83835,1200.0,CC12CCC3C(CCC4=CCCCC43C(F)F)C1CCC2=O
CHEMBL349919,10000.0,CC(=O)SCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL349963,400.0,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSc3ccccc3)C1CCC2=O
CHEMBL353571,570.0,CSCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL164746,10000.0,CSCCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL1629805,270.0,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O
CHEMBL166017,10000.0,CN(C)CC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL164821,1000.0,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CC[Se]c3ccccc3)C1CCC2=O
CHEMBL164993,42.0,CSC(=O)C[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12
CHEMBL165925,10000.0,COCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL165218,870.0,CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL350713,330.0,C#CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL81134,5900.0,CC12CCC3C(CCC4=CCCCC43C)C1C[C@H](Br)C2=O
CHEMBL31456,7.7,N#Cc1ccc(/C(=N\c2ccc(Br)cc2)n2ccnc2)cc1
CHEMBL31215,3.2,N#Cc1ccc([C@@H]2CCCc3cncn32)cc1
CHEMBL350074,22.0,CSCC[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12
CHEMBL166032,1000.0,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSC#N)C1CCC2=O
CHEMBL164543,50.0,C=CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL82981,62000.0,C#CC(O)C12CCCC=C1CCC1C3CCC(=O)C3(C)CCC12
CHEMBL165552,1000.0,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSSc3ccc([N+](=O)[O-])cc3[N+](=O)[O-])C1CCC2=O
CHEMBL1629804,530.0,C[C@]12CCCC=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL285809,233.0,N#Cc1ccc(C2(c3ccc(C#N)cc3)CCCc3cncn32)cc1
CHEMBL351850,1000.0,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCCCl)C1CCC2=O
CHEMBL166148,1000.0,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSC(F)F)C1CCC2=O
CHEMBL287677,680.0,N#Cc1ccc([C@H]2CCCc3cncn32)cc1
CHEMBL31224,2.9,N#Cc1ccc2c(c1)CCC=C2n1ccnc1
CHEMBL351526,270.0,C=CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL351226,1000.0,CSC(C[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12)SC
CHEMBL349851,1000.0,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSSc3ccccc3)C1CCC2=O
CHEMBL440691,2300.0,CC12CCC3C(CCC4=CCCCC43CO)C1CCC2O
CHEMBL83422,4100.0,CC12CCC3C(CCC4=CCCCC43C)C1C[C@@H](Br)C2=O
CHEMBL132530,410.0,C[C@]12CCC(=O)C(O)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL166060,10000.0,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCI)C1CCC2=O
CHEMBL439950,7300.0,CC12CCCC=C1CCC1C2CCC2(C)C(O)CCC12
CHEMBL165106,50.0,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCF)C1CCC2=O
CHEMBL423096,1000.0,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSCCO)C1CCC2=O
CHEMBL424185,10000.0,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCOS(C)(=O)=O)C1CCC2=O
CHEMBL166079,1000.0,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSC3CC3)C1CCC2=O
CHEMBL165342,7400.0,CS[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12
CHEMBL93828,210.0,O=C1c2cccc(O)c2CCC1Cc1ccncc1
CHEMBL91992,8600.0,O=C1/C(=C/c2ccncc2)CCc2cc(O)ccc21
CHEMBL419131,13000.0,COc1ccc2c(c1)C(=O)/C(=C/c1ccncc1)CC2
CHEMBL313774,3000.0,O=C1/C(=C/c2ccncc2)CCc2ccc(O)cc21
CHEMBL91818,6200.0,O=C1c2ccc(O)cc2CCC1Cc1ccncc1
CHEMBL90585,9300.0,O=C1/C(=C/c2ccncc2)CCc2ccccc21
CHEMBL88233,3300.0,COc1ccc2c(c1)CCC(Cc1ccncc1)C2=O
CHEMBL488,37000.0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CHEMBL488,37000.0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CHEMBL90077,4900.0,O=C1c2cc(O)ccc2CCC1Cc1ccncc1
CHEMBL93666,9600.0,COc1ccc2c(c1)C(=O)C(Cc1ccncc1)CC2
CHEMBL93828,170.0,O=C1c2cccc(O)c2CCC1Cc1ccncc1
CHEMBL91101,6300.0,COc1cccc2c1CC/C(=C\c1ccncc1)C2=O
CHEMBL328217,8900.0,COc1ccc2c(c1)CC/C(=C\c1ccncc1)C2=O
CHEMBL93666,7900.0,COc1ccc2c(c1)C(=O)C(Cc1ccncc1)CC2
CHEMBL93828,200.0,O=C1c2cccc(O)c2CCC1Cc1ccncc1
CHEMBL92065,4300.0,O=C1c2ccccc2CCC1Cc1ccncc1
CHEMBL93666,8500.0,COc1ccc2c(c1)C(=O)C(Cc1ccncc1)CC2
CHEMBL92488,690.0,O=C1/C(=C/c2ccncc2)CCc2c(O)cccc21
CHEMBL90427,2200.0,COc1cccc2c1CCC(Cc1ccncc1)C2=O
CHEMBL1629804,0.06,C[C@]12CCCC=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12
CHEMBL307006,50.0,CCCCC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12
CHEMBL73367,1.6,C[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12
CHEMBL305630,9.0,CCCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL70317,0.44,CCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL307690,0.32,CC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL73279,0.36,CC12CCCC=C1CCC1C2CCC2(C)C1CC[C@@H]2O
CHEMBL69891,14.0,CCC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12
CHEMBL72056,50.0,CCCCCCCC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12
CHEMBL307643,0.19,CC12CCC3C(C[C@H](O)C4=CCCCC43C)C1CCC2=O
CHEMBL310735,0.037,C[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL73368,50.0,CCCCCCCC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12
CHEMBL308537,0.13,CO[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL307581,0.12,CO[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL70959,3.7,C[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12
CHEMBL305205,0.049,C[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL73071,43.0,CCC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12
CHEMBL72415,12.0,CCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL74295,50.0,CCCCCCCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL70436,0.11,CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL72538,50.0,CCCCCCCC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL306022,3.3,CC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12
CHEMBL72228,0.16,CC(=O)O[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL73993,0.05,CC12CCC3C(C[C@@H](O)C4=CCCCC43C)C1CCC2=O
CHEMBL304770,0.26,CC(=O)O[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL73219,50.0,CCCCC[C@@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12
CHEMBL74339,1.3,CC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12
CHEMBL304305,0.23,CCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCCC=C12
CHEMBL430879,100.0,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)cc2)n2cnnc2)cc1
CHEMBL325346,39.0,N#Cc1ccc(N(Cc2cccc(OS(N)(=O)=O)c2)n2cnnc2)cc1
CHEMBL488,250.0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CHEMBL322322,2.3,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)c(Cl)c2)n2cnnc2)cc1
CHEMBL108483,0.82,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)c(Br)c2)n2cnnc2)cc1
CHEMBL99057,3300.0,C[C@]12CCC3C(CCC4=C(O)C(=O)CC[C@@]43C(F)F)C1CCC2=O
CHEMBL108425,0.5,N#Cc1ccc(N(Cc2ccc(Br)cc2)n2cnnc2)cc1
CHEMBL317581,30.0,Clc1ccc(COC(Cn2cccc2)c2ccc(Cl)cc2Cl)cc1
CHEMBL108646,12.0,N#Cc1ccc(N(Cc2ccc(OS(N)(=O)=O)c(F)c2)n2cnnc2)cc1
CHEMBL134748,20000.0,C[C@@H]1C(OC(=O)Cc2ccccn2)CC2CC1C2(C)C
CHEMBL134442,440.0,C[C@@H]1CCC2C(C)(C)C3CC21CC[C@@]3(C)OC(=O)Cc1ccncc1
CHEMBL135095,1700.0,C[C@@H]1CCC2C(C)(C)C3CC21CC[C@@]3(C)OC(=O)Cc1cccnc1
CHEMBL134509,9100.0,CC(C(=O)OC12CC3CC(CC(C3)C1)C2)c1cccnc1
CHEMBL3084923,40000.0,CC(C)(C(=O)OC1(C)C2CC3CC(C2)CC1C3)c1cccnc1
CHEMBL134169,35000.0,CC(C)(C(=O)OC12CC3CC(CC(C3)C1)C2)c1cccnc1
CHEMBL131984,5600.0,C[C@@H]1C(OC(=O)Cc2cccnc2)CC2CC1C2(C)C
CHEMBL132072,120.0,C[C@@H]1C(OC(=O)Cc2ccncc2)CC2CC1C2(C)C
CHEMBL135037,8900.0,O=C(Cc1cccnc1)OC12CC3CC(CC(C3)C1)C2
CHEMBL337251,30000.0,C[C@@H]1C(OC(=O)C(C)(C)c2cccnc2)CC2CC1C2(C)C
CHEMBL3084924,10800.0,CC1(OC(=O)Cc2cccnc2)C2CC3CC(C2)CC1C3
CHEMBL132380,55000.0,CCC(CC)(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1ccncc1
CHEMBL444068,80500.0,C[C@@H]1CCC2C(C)(C)C3CC21CC[C@@]3(C)OC(=O)C(C)(C)c1cccnc1
CHEMBL133724,1320.0,CC(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1ccncc1
CHEMBL135070,3850.0,C[C@@H]1C(OC(=O)C(C)(C)c2ccncc2)CC2CC1C2(C)C
CHEMBL336102,3960.0,CCC(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1ccncc1
CHEMBL132066,8900.0,CC(C(=O)OC1CC2CC([C@@H]1C)C2(C)C)c1cccnc1
CHEMBL488,18500.0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CHEMBL41429,2900.0,CCN1CCc2cccc(C(c3ccc(F)cc3)n3cncn3)c21
CHEMBL63297,190.0,Fc1ccc(C(C2Cc3ccccc3O2)n2cncn2)cc1
CHEMBL416616,62.0,CCn1ccc2cccc(C(c3ccc(F)cc3)n3ccnc3)c21
CHEMBL294361,30.0,COc1ccc2c(c1)C1C(CC2)C1c1ccncc1
CHEMBL65328,590.0,Cc1ccc(C(C2Cc3ccccc3O2)n2cncn2)cc1
CHEMBL294361,10000.0,COc1ccc2c(c1)C1C(CC2)C1c1ccncc1
CHEMBL63336,4300.0,COc1ccc(Br)c2c1CCC1C(c3ccncc3)C21
CHEMBL41761,41.0,CCn1ccc2cc(C(c3ccc(F)cc3)n3ccnc3)ccc21
CHEMBL304222,330.0,Oc1ccc2c(c1)CCC1C(c3ccncc3)C21
CHEMBL39423,200.0,CCn1ccc2cc(Br)cc(C(c3ccc(F)cc3)n3ccnc3)c21
CHEMBL419619,1400.0,COc1cc2c(cc1Br)CCC1C(c3ccncc3)C21
CHEMBL488,18500.0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CHEMBL288695,110.0,CCN1CCc2cccc(C(c3cccc(Cl)c3)n3ccnc3)c21
CHEMBL66673,3350.0,COc1cccc2c1CCC1C(c3ccncc3)C21
CHEMBL291646,200.0,Clc1ccc(C(C2Cc3ccccc3O2)n2cncn2)cc1
CHEMBL287950,90.0,CCN1CCc2cc(Br)cc(C(c3ccc(F)cc3)n3ccnc3)c21
CHEMBL39403,61.5,CCN1CCc2cccc(C(c3ccc(F)cc3)n3ccnc3)c21
CHEMBL488,18500.0,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
CHEMBL285193,70.0,CCn1ccc2cccc(C(c3ccc(Br)cc3)n3ccnc3)c21
CHEMBL67842,69.0,COc1ccc2c(c1)CCC1C(c3ccncc3)C21
CHEMBL304788,880.0,Clc1ccc(C(C2Cc3ccccc3O2)n2cncn2)c(Cl)c1
CHEMBL294360,2170.0,Fc1ccc(C(C2Cc3ccccc3O2)n2cnnn2)cc1
